"","n","method","fpr"
"1",10,"ALDEx2-SM Unif",0.0450414144249284
"2",10,"ALDEx2-SM left-skew",0.532857329783902
"3",10,"ALDEx2-SM right-skew",0.00296363636363636
"4",10,"ALDEx2",0.0263076554627739
"5",10,"ALDEx2-GTT",0.00729370629370629
"6",10,"ALDEx2-CTT",0.00392857142857143
"7",20,"ALDEx2-SM Unif",0.0630284900428089
"8",20,"ALDEx2-SM left-skew",0.555243532947426
"9",20,"ALDEx2-SM right-skew",0.00462825428094314
"10",20,"ALDEx2",0.103142076076699
"11",20,"ALDEx2-GTT",0.00557575757575758
"12",20,"ALDEx2-CTT",0.00382117882117882
"13",40,"ALDEx2-SM Unif",0.0863255579762019
"14",40,"ALDEx2-SM left-skew",0.530486028632972
"15",40,"ALDEx2-SM right-skew",0.0111386626823084
"16",40,"ALDEx2",0.221619070566731
"17",40,"ALDEx2-GTT",0.00537155388471178
"18",40,"ALDEx2-CTT",0.00210526315789474
"19",60,"ALDEx2-SM Unif",0.109456102860961
"20",60,"ALDEx2-SM left-skew",0.511810807051477
"21",60,"ALDEx2-SM right-skew",0.0169917993031643
"22",60,"ALDEx2",0.296608572408568
"23",60,"ALDEx2-GTT",0.00874784024203262
"24",60,"ALDEx2-CTT",0.00457491059664973
"25",80,"ALDEx2-SM Unif",0.151114832461675
"26",80,"ALDEx2-SM left-skew",0.503902516876892
"27",80,"ALDEx2-SM right-skew",0.0217829611182341
"28",80,"ALDEx2",0.342106560534855
"29",80,"ALDEx2-GTT",0.00985277830060439
"30",80,"ALDEx2-CTT",0.00527182349813929
"31",100,"ALDEx2-SM Unif",0.162858033653312
"32",100,"ALDEx2-SM left-skew",0.493092614936119
"33",100,"ALDEx2-SM right-skew",0.0243205147878532
"34",100,"ALDEx2",0.361222702171939
"35",100,"ALDEx2-GTT",0.0110708273208273
"36",100,"ALDEx2-CTT",0.00573661041052345
"37",130,"ALDEx2-SM Unif",0.177988949252954
"38",130,"ALDEx2-SM left-skew",0.487941362609465
"39",130,"ALDEx2-SM right-skew",0.0283459064300202
"40",130,"ALDEx2",0.388535124347377
"41",130,"ALDEx2-GTT",0.0108152885872526
"42",130,"ALDEx2-CTT",0.00459334144116753
"43",160,"ALDEx2-SM Unif",0.183985553541842
"44",160,"ALDEx2-SM left-skew",0.480577932167284
"45",160,"ALDEx2-SM right-skew",0.0274762335998149
"46",160,"ALDEx2",0.39307026017313
"47",160,"ALDEx2-GTT",0.00997544338690383
"48",160,"ALDEx2-CTT",0.00390604395604396
"49",200,"ALDEx2-SM Unif",0.212027142183307
"50",200,"ALDEx2-SM left-skew",0.477279651747486
"51",200,"ALDEx2-SM right-skew",0.0353667604260011
"52",200,"ALDEx2",0.402705259995047
"53",200,"ALDEx2-GTT",0.0116566544566545
"54",200,"ALDEx2-CTT",0.00546102971102971
