"","n","method","power"
"1",10,"ALDEx2-SM Unif",0.108333333333333
"2",10,"ALDEx2-SM left-skew",0.352833333333333
"3",10,"ALDEx2-SM right-skew",0.221666666666667
"4",10,"ALDEx2",0.303166666666667
"5",10,"ALDEx2-GTT",0.0626666666666666
"6",10,"ALDEx2-CTT",0.0403333333333333
"7",20,"ALDEx2-SM Unif",0.2605
"8",20,"ALDEx2-SM left-skew",0.495166666666667
"9",20,"ALDEx2-SM right-skew",0.473166666666667
"10",20,"ALDEx2",0.566333333333333
"11",20,"ALDEx2-GTT",0.159833333333333
"12",20,"ALDEx2-CTT",0.135833333333333
"13",40,"ALDEx2-SM Unif",0.3655
"14",40,"ALDEx2-SM left-skew",0.585166666666667
"15",40,"ALDEx2-SM right-skew",0.6175
"16",40,"ALDEx2",0.709666666666667
"17",40,"ALDEx2-GTT",0.249166666666667
"18",40,"ALDEx2-CTT",0.226333333333333
"19",60,"ALDEx2-SM Unif",0.403166666666666
"20",60,"ALDEx2-SM left-skew",0.635833333333333
"21",60,"ALDEx2-SM right-skew",0.6695
"22",60,"ALDEx2",0.763333333333333
"23",60,"ALDEx2-GTT",0.304833333333334
"24",60,"ALDEx2-CTT",0.284166666666667
"25",80,"ALDEx2-SM Unif",0.434333333333333
"26",80,"ALDEx2-SM left-skew",0.656666666666666
"27",80,"ALDEx2-SM right-skew",0.708833333333333
"28",80,"ALDEx2",0.799666666666666
"29",80,"ALDEx2-GTT",0.337833333333333
"30",80,"ALDEx2-CTT",0.3185
"31",100,"ALDEx2-SM Unif",0.452166666666667
"32",100,"ALDEx2-SM left-skew",0.685666666666667
"33",100,"ALDEx2-SM right-skew",0.721333333333334
"34",100,"ALDEx2",0.8225
"35",100,"ALDEx2-GTT",0.363666666666667
"36",100,"ALDEx2-CTT",0.347666666666667
"37",130,"ALDEx2-SM Unif",0.475333333333334
"38",130,"ALDEx2-SM left-skew",0.700166666666667
"39",130,"ALDEx2-SM right-skew",0.753
"40",130,"ALDEx2",0.849833333333333
"41",130,"ALDEx2-GTT",0.383
"42",130,"ALDEx2-CTT",0.366166666666667
"43",160,"ALDEx2-SM Unif",0.496
"44",160,"ALDEx2-SM left-skew",0.721166666666667
"45",160,"ALDEx2-SM right-skew",0.758666666666667
"46",160,"ALDEx2",0.861499999999999
"47",160,"ALDEx2-GTT",0.398166666666666
"48",160,"ALDEx2-CTT",0.384333333333333
"49",200,"ALDEx2-SM Unif",0.503666666666667
"50",200,"ALDEx2-SM left-skew",0.730833333333334
"51",200,"ALDEx2-SM right-skew",0.774333333333333
"52",200,"ALDEx2",0.878333333333334
"53",200,"ALDEx2-GTT",0.411499999999999
"54",200,"ALDEx2-CTT",0.397833333333333
