"","gold_standard","deseq2","limma","edger","aldex2","aldex2_lib","aldex2_con"
" g__Streptococcus","tp","fn","tp","tp","fn","fn","tp"
" g__Haemophilus","tp","tp","tp","tp","fn","tp","tp"
" g__Neisseria","tn","tn","tn","tn","tn","tn","tn"
" g__Veillonella","tn","tn","tn","tn","tn","tn","tn"
" g__Porphyromonas","tn","tn","tn","tn","tn","tn","tn"
" g__Prevotella","tn","tn","tn","tn","tn","tn","tn"
" g__Fusobacterium","tn","tn","tn","tn","tn","tn","tn"
" g__Aggregatibacter","tn","tn","tn","tn","tn","tn","tn"
" g__Abiotrophia","tn","tn","tn","tn","tn","tn","tn"
" g__Actinobacillus","tn","tn","tn","tn","tn","tn","tn"
" g__Rothia","tn","fp","tn","tn","tn","tn","tn"
" g__[Prevotella]","tn","fp","fp","fp","fp","tn","tn"
" g__Capnocytophaga","tn","tn","tn","tn","tn","tn","tn"
" g__Leptotrichia","tn","tn","tn","tn","tn","tn","tn"
" g__Campylobacter","tn","tn","tn","tn","tn","tn","tn"
" g__Lautropia","tn","tn","tn","tn","tn","tn","tn"
" g__Actinomyces","tn","tn","tn","tn","tn","tn","tn"
" g__Oribacterium","tn","tn","tn","tn","tn","tn","tn"
" g__Kingella","tn","tn","tn","tn","tn","tn","tn"
" g__Catonella","tn","tn","tn","tn","tn","tn","tn"
" g__Selenomonas","tn","fp","fp","fp","fp","tn","tn"
" g__Dialister","tn","tn","tn","tn","tn","tn","tn"
" g__Moryella","tn","tn","tn","tn","tn","tn","tn"
" g__Parvimonas","tn","tn","tn","tn","tn","tn","tn"
" g__Tannerella","tn","tn","tn","tn","tn","tn","tn"
" g__Mogibacterium","tn","tn","tn","tn","tn","tn","tn"
" g__Bulleidia","tn","tn","tn","tn","tn","tn","tn"
" g__Atopobium","tn","tn","tn","tn","tn","tn","tn"
" g__Peptostreptococcus","tn","tn","tn","tn","tn","tn","tn"
" g__Corynebacterium","tn","tn","tn","tn","tn","tn","tn"
" g__Mycoplasma","tn","tn","tn","tn","tn","tn","tn"
" g__Treponema","tn","tn","tn","tn","tn","tn","tn"
" g__Cardiobacterium","tn","tn","tn","tn","tn","tn","tn"
" g__Shuttleworthia","tn","tn","tn","tn","tn","tn","tn"
" g__Schwartzia","tn","fp","fp","fp","tn","tn","tn"
" g__TG5","tn","tn","tn","tn","tn","tn","tn"
" g__Lachnoanaerobaculum","tn","tn","tn","tn","tn","tn","tn"
"other","tn","tn","tn","tn","tn","tn","tn"
